HF Code,HF Name,Province,District,Palika,Ward,Authority-Level,Authority,Ownership,Facility Level
1020600162,KESHAV DENTAL CLINIC,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,1,Provincial,Non-Government,Private Enterprise,Dental Clinic
1020600172,PATHIVARA DENTAL CLINIC,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,1,Local,Non-Government,Private Enterprise,Dental Clinic
1020600182,GOPAL BHAGAT MEMORIAL HOSPITAL,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,1,Local,Non-Government,Private Enterprise,Basic Hospital (5 to 15 beds)
1020600192,HARISIDDHI HOSPITAL,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,9,Local,Non-Government,Private Enterprise,Basic Hospital (5 to 15 beds)
1020600222,MANAKAMANA HOSPITAL PVT.LTD,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,9,Local,Non-Government,Private Enterprise,Basic Hospital (5 to 15 beds)
1020700021,JALJALA HEALTH POST,Koshi Pradesh,Sankhuwasava,Panchakhapan Municipality,8,Local,Government,Local Government,Basic Health Service Center
1020700031,SYABUN HEALTH POST,Koshi Pradesh,Sankhuwasava,Panchakhapan Municipality,2,Local,Government,Local Government,Basic Health Service Center
1020700041,WANA PRIMARY HEALTH CARE CENTRE,Koshi Pradesh,Sankhuwasava,Panchakhapan Municipality,6,Local,Government,Local Government,Basic Health Service Center
1020700051,WANA  LINGLING HEALTH POST,Koshi Pradesh,Sankhuwasava,Panchakhapan Municipality,5,Local,Government,Local Government,Basic Health Service Center
1020800011,CHAINPUR AAYURVED DISPENSARY,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,3,Local,Government,Local Government,Ayurveda Clinic
1020800021,PAREWADANDA URBAN HEALTH CENTER,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020800031,SALDANDA BASIC HEALTH SERVICE CENTER,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,11,Local,Government,Local Government,Basic Health Service Center
1020800041,LOHAKOT URBAN HEALTH CENTER,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,11,Local,Government,Local Government,Basic Health Service Center
1020800051,BANESWOR HEALTH POST,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,9,Local,Government,Local Government,Basic Health Service Center
1020800061,KHARANG HEALTH POST,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,10,Local,Government,Local Government,Basic Health Service Center
1020800071,NUNDHAKI HEALTH POST,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,1,Local,Government,Local Government,Basic Health Service Center
1020800081,SIDDHAKALI HEALTH POST,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020800091,SIDDHAPOKHARI HEALTH POST,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020800101,CHAINPUR BASIC HOSPITAL,Koshi Pradesh,Sankhuwasava,Chainapur Municipality,6,Local,Government,Local Government,Basic Health Service Center
1020900011,MADI NAGAR ASPATAL  SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Madi Municipality,4,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1020900021,MAWADIN HEALTH POST SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Madi Municipality,8,Local,Government,Local Government,Basic Health Service Center
1020900031,MULKHARKA HEALTH POST SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Madi Municipality,3,Local,Government,Local Government,Basic Health Service Center
1021000011,AANKHIBHUIN AAYURVED DISPENSARY  SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Dharmadevi Municipality,8,Local,Government,Local Government,Basic Ayurveda Service Centre
1021000021,ANKHIBHUI HEALTH POST SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Dharmadevi Municipality,7,Local,Government,Local Government,Basic Health Service Center
1021000031,MAMLING HEALTH POST SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Dharmadevi Municipality,4,Local,Government,Local Government,Basic Health Service Center
1021000041,TAMAFOK HEALTH POST SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Dharmadevi Municipality,2,Local,Government,Local Government,Basic Health Service Center
1030100011,CHAURIKHARKA HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,3,Local,Government,Local Government,Health Post
1030400011,JUBING HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Mapya Dudhkoshi Rural Municipality,1,Local,Government,Local Government,Health Post
1030100031,KHUMJUNG HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,4,Local,Government,Local Government,Health Post
1030100041,NAMCHE HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,5,Local,Government,Local Government,Health Post
1030100052,PASANG LHAMU. NIKOL NIKLI HOSPITAL,Koshi Pradesh,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,5,,Non-Government,Non Governmental Organizations,General Hospital
1030100072,KHUNDE HOSPITAL_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Khumbu Pasanglhamu Rural Municipality,5,Local,Non-Government,,General Hospital
1030200011,KHIRAULE                                                                 COMMUNITY HEALTH UNIT,Koshi Pradesh,Solukhumbu,Mahakulung Rural Municipality,1,Local,Government,Local Government,Community Health Unit
1030200021,MAHAKULUNG  ADHARBHUT  HOSPITAL SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Mahakulung Rural Municipality,1,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1030200031,CHHESKAM HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Mahakulung Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1030200041,GUDEL HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Mahakulung Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1030300011,CHITRE COMMUNITY HEALHTH UNIT_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Sotang Rural Municipality,4,Local,Government,Local Government,Community Health Unit
1030300021,PAWAI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Sotang Rural Municipality,1,Local,Government,Local Government,Health Post
1030300031,SOTANG PHC_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Sotang Rural Municipality,3,Local,Government,Local Government,Primary Health Center
1030500011,NELE AAYURVED AUSHADHALAYA,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,1,Local,Government,Local Government,Ayurveda Aushadhalaya
1030500041,DEUSA HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,8,Local,Government,Local Government,Health Post
1030500051,JUBU HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,4,Local,Government,Local Government,Health Post
1030500061,KANGEL HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,2,Local,Government,Local Government,Health Post
1030500081,PANCHAN HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1030500091,THULUNG DUDHKOSHI HOSPITAL,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,6,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1030500101,NELE HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Thulung Dudhkoushi Rural Municipality,1,Local,Government,Local Government,Health Post
1030600012,NECHA COMMUNITY HOSPITAL_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,3,Local,Non-Government,,Community Health Unit
1030600021,TINGLA AAYURVED DISPENSARY,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,1,Local,Government,,Ayurveda Aushadhalaya
1030600031,NECHABATASE HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,3,Local,Government,Local Government,Health Post
1030600041,NECHABEDGHARI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,3,Local,Government,Local Government,Health Post
1030600061,TINGLA HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,11,Local,Government,Local Government,Health Post
1030600071,SALYAN PHC_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Necha Salyan Rural Municipality,2,Local,Government,Local Government,Primary Health Center
1030700021,DISTRICT AAYURVED HEALTH CENTER,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,,Government,Ministry of Health and Population,District Ayurveda Health center
1030700041,DHUNSA,COMMUNITY HEALTH UNIT,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,Local,Government,Local Government,Community Health Unit
1030800052,KINJA COMMUNITY HEALTH UNIT,Koshi Pradesh,Solukhumbu,Likhu Pike Rural Municipality,1,Local,Non-Government,,Clinic (Dental/Eye/Medical????.)
1030700071,DISTRICT HOSPITAL_ SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,4,Provincial,Government,,District Hospital
1030700081,BENI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,2,Local,Government,Local Government,Health Post
1030700091,GARMA HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,7,Local,Government,Local Government,Health Post
1030700101,GORAKHANI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,9,Local,Government,Local Government,Health Post
1030700111,KERUNG HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,8,Local,Government,Local Government,Health Post
1030700121,SALLERI HP SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,5,Local,Government,Local Government,Health Post
1030700131,TAKASINDU HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,1,Local,Government,Local Government,Health Post
1030700141,TAMAKHANI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,3,Local,Government,Local Government,Health Post
1030700151,TAPTING HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,10,Local,Government,Local Government,Health Post
1030700161,CHALSYA                                                                  URBAN HEALTH CLINIC,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,Local,Government,Local Government,Urban Health Center
1030700171,ROSI                                                                     URBAN HEALTH CLINIC,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,Local,Government,Local Government,Urban Health Center
1030700181,KARAGAR                                                                  SOLUKHUMBHU,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,,Government,Ministry of Home Affairs,
1030700192,RINGU CLINIC,Koshi Pradesh,Solukhumbu,Solu Dudhakunda Municipality,,,Non-Government,Non Governmental Organizations,
1030800012,KINJA COMMUNITY HEALHTH UNIT_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Likhu Pike Rural Municipality,5,Local,Non-Government,Non Governmental Organizations,Poly Clinic
1030800021,BHAKANJE HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Likhu Pike Rural Municipality,5,Local,Government,Local Government,Health Post
1030800031,CHAULAKHARKA HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Likhu Pike Rural Municipality,3,Local,Government,Local Government,Health Post
1030800041,GOLI HP_SOLUKHUMBU,Koshi Pradesh,Solukhumbu,Likhu Pike Rural Municipality,2,Local,Government,Local Government,Health Post
1040100011,SERNA AAYURVED DISPENSARY,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,5,Local,Government,Local Government,Basic Ayurveda Service Centre
1040100021,DIYALE AAYURVED DISPENSARY,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,3,Local,Government,Local Government,Basic Ayurveda Service Centre
1040100031,BHADURE HEALTH POST_,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1040100041,DIYALE HEALTH POST,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1040100051,KUIBHIR HEALTH POST,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1040100061,MAMKHA HEALTH POST,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,8,Local,Government,Local Government,Basic Health Service Center
1040100071,CHISHANKHUGAGHI BASIC HOSPITAL,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,2,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1040100081,RATMATA HEALTH POST,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1040100091,SERNA HEALTH POST,Koshi Pradesh,Okhaldhunga,Chishankhu Gadhi Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1040200012,OKHALDHUNGA COMMUNITY HOSPITAL_OKHALDHUNGA,Koshi Pradesh,Okhaldhunga,Siddhicharan Municipality,11,,Non-Government,Cooperative Organizations,General Hospital
